symbol,name,sector,industry,country,region,market_cap,revenue,employees,profit_margin,operating_margin,trailing_pe,data_source
HAKG,Einbecker Brauhaus,,,Germany,Europe,,,,,,,investpy
ALMEC,Mecelec,,,France,Europe,,,,,,,investpy
GABI,Gabetti Property,,,Italy,Europe,,,,,,,investpy
PV,Pfeiffer,,,Germany,Europe,,,,,,,investpy
HLAN,Hal Trust,,,Netherlands,Europe,,,,,,,investpy
SKJE,Skjern Bank,,,Denmark,Europe,,,,,,,investpy
WUGG,Westag&Getalit ST,,,Germany,Europe,,,,,,,investpy
CR8,Carbo Ceramics,,,Germany,Europe,,,,,,,investpy
XXLNOK,XXL ASA,,,Sweden,Europe,,,,,,,investpy
ITTr,Intertech,,,Greece,Europe,,,,,,,investpy
SALIn,Impregilo RSP,,,Italy,Europe,,,,,,,investpy
IMMNOV,Immunovia publ AB,,,Sweden,Europe,,,,,,,investpy
EVTG,Evotec AG,,,Germany,Europe,,,,,,,investpy
BONNOK,Bonheur,,,Sweden,Europe,,,,,,,investpy
SPOG,Sparebanken Ost,,,Norway,Europe,,,,,,,investpy
MMKV,Mayr-Melnhof Karton AG,,,Austria,Europe,,,,,,,investpy
BLVN,Bowleven,,,United Kingdom,Europe,,,,,,,investpy
ZUCIn,Zucchi RSP,,,Italy,Europe,,,,,,,investpy
NENTb,Nordic Entertainment B,,,Sweden,Europe,,,,,,,investpy
BYTr,Byte Computer SA,,,Greece,Europe,,,,,,,investpy
ARDN,Arden,,,United Kingdom,Europe,,,,,,,investpy
SWTQ,Schweiter Tech,,,Switzerland,Europe,,,,,,,investpy
HICL,HICL Infrastructure,,,United Kingdom,Europe,,,,,,,investpy
C08,Caesars,,,Germany,Europe,,,,,,,investpy
A60,Allergan,,,Germany,Europe,,,,,,,investpy
HINV,Home Invest,,,Belgium,Europe,,,,,,,investpy
IMMO,Immobel,,,Belgium,Europe,,,,,,,investpy
WTAN,Witan,,,United Kingdom,Europe,,,,,,,investpy
TCN,Tricorn,,,United Kingdom,Europe,,,,,,,investpy
LUKN,Luzerner Kantonalbank AG,,,Switzerland,Europe,,,,,,,investpy
FREG,Fresenius SE,,,Switzerland,Europe,,,,,,,investpy
NEX,National Express,,,United Kingdom,Europe,,,,,,,investpy
C52,Colfax,,,Germany,Europe,,,,,,,investpy
IBST,Ibstock PLC,,,United Kingdom,Europe,,,,,,,investpy
INEA,Fonciere Inea,,,France,Europe,,,,,,,investpy
DPAP,Docks des Petroles dAmbes,,,France,Europe,,,,,,,investpy
TOBII,Tobii AB,,,Sweden,Europe,,,,,,,investpy
OKEA,Okea,,,Norway,Europe,,,,,,,investpy
GILDUSD,Gilead,,,Switzerland,Europe,,,,,,,investpy
AUTON,Autoneum Holding AG,,,Switzerland,Europe,,,,,,,investpy
TATE,Tate&Lyle,,,United Kingdom,Europe,,,,,,,investpy
EMOTR,Emotra AB,,,Sweden,Europe,,,,,,,investpy
BICy,BanColombia,,,Germany,Europe,,,,,,,investpy
PIRC,Pirelli & C,,,Italy,Europe,,,,,,,investpy
NNIT,Nnit AS,,,Denmark,Europe,,,,,,,investpy
YNUM,Numulae Gestion de Servicios,,,Spain,Europe,,,,,,,investpy
TIGT,Troy,,,United Kingdom,Europe,,,,,,,investpy
DEFLb,Deflamo AB,,,Sweden,Europe,,,,,,,investpy
KURN,Kuros Biosciences,,,Switzerland,Europe,,,,,,,investpy
ALPLA,Planet.FR SA,,,France,Europe,,,,,,,investpy
MFTC,Matica Fintec,,,Italy,Europe,,,,,,,investpy
ELGr,Elgeka,,,Greece,Europe,,,,,,,investpy
S92G,SMA Solar AG,,,Austria,Europe,,,,,,,investpy
VIPRO,Victoria Properties,,,Denmark,Europe,,,,,,,investpy
DOFNOK,Dof,,,Sweden,Europe,,,,,,,investpy
ASSI,Assiteca SpA Internazionale,,,Italy,Europe,,,,,,,investpy
ALADO,Adomos,,,France,Europe,,,,,,,investpy
A3B,Acco Brands,,,Germany,Europe,,,,,,,investpy
RTCG,Realtech AG,,,Germany,Europe,,,,,,,investpy
PATGn,Patrizia Immobilien,,,Germany,Europe,,,,,,,investpy
BWONOK,BW Offshore,,,Sweden,Europe,,,,,,,investpy
EUAV,Euronav,,,Belgium,Europe,,,,,,,investpy
IFXGn,Infineon,,,Germany,Europe,,,,,,,investpy
0RIH,Alphabet A,,,United Kingdom,Europe,,,,,,,investpy
MLALV,Alveen,,,France,Europe,,,,,,,investpy
UBSG,UBS Group,,,Switzerland,Europe,,,,,,,investpy
GAMH,GAM Holding,,,Switzerland,Europe,,,,,,,investpy
SKMO,Skane mollan AB,,,Sweden,Europe,,,,,,,investpy
OXIG,Oxford Instruments,,,United Kingdom,Europe,,,,,,,investpy
MIHO,Miris Holding,,,Sweden,Europe,,,,,,,investpy
SHBb,Svenska Handelsbanken B,,,Sweden,Europe,,,,,,,investpy
AYIMAb,Ayima,,,Sweden,Europe,,,,,,,investpy
TUIGn,Tui,,,Germany,Europe,,,,,,,investpy
NOBINA,Nobina publ AB,,,Sweden,Europe,,,,,,,investpy
TITC,Titan Cement,,,Belgium,Europe,,,,,,,investpy
HEAD,Headlam,,,United Kingdom,Europe,,,,,,,investpy
MBQGn,Mobotix AG,,,Germany,Europe,,,,,,,investpy
PMAG,PIERER Mobility AG,,,Austria,Europe,,,,,,,investpy
O2Dn,Telefonica Deutschland AG,,,Austria,Europe,,,,,,,investpy
ALNOV,Novacyt,,,France,Europe,,,,,,,investpy
1COV,Covestro,,,Austria,Europe,,,,,,,investpy
AERWb,Aerowash,,,Sweden,Europe,,,,,,,investpy
KRNG,Krones AG,,,Germany,Europe,,,,,,,investpy
NEXII,Nexi,,,Italy,Europe,,,,,,,investpy
ADSGnEUR,Adidas,,,Switzerland,Europe,,,,,,,investpy
NEWN,New Value AG,,,Switzerland,Europe,,,,,,,investpy
DEQGn,Deutsche Euroshop AG,,,Austria,Europe,,,,,,,investpy
BIONn,BB Biotech,,,Germany,Europe,,,,,,,investpy
ETGG,Envitec,,,Germany,Europe,,,,,,,investpy
