symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio
PFD,2025-03-21T10:54:34.340849,United Kingdom,Europe,Premier Foods,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAV,2025-03-21T10:54:34.356411,Switzerland,Europe,Carlo Gavazzi Holding AG,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKS,2025-03-21T10:54:34.388411,United Kingdom,Europe,Marks & Spencer,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PST,2025-03-21T10:54:34.404475,Italy,Europe,Poste Italiane,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAr,2025-03-21T10:54:34.435984,Greece,Europe,Sfakianakis R,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNAV,2025-03-21T10:54:34.468041,Finland,Europe,Orion Oyj A,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAM,2025-03-21T10:54:34.625398,United Kingdom,Europe,Lamprell,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLOY,2025-03-21T10:54:34.641399,Switzerland,Europe,Lloyds Banking,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBN1,2025-03-21T10:54:34.641399,Germany,Europe,The Blackstone,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBPHAb,2025-03-21T10:54:34.673399,Sweden,Europe,Double Bond Pharma,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA,2025-03-21T10:54:34.720695,Germany,Europe,Eurazeo,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3D,2025-03-21T10:54:34.752696,Austria,Europe,SLM Solutions,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXFB,2025-03-21T10:54:34.768696,Austria,Europe,Warimpex Ag,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADNi,2025-03-21T10:54:34.816194,France,Europe,CRCAM Nord,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLS,2025-03-21T10:54:34.911702,Belgium,Europe,Association des Commercants,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR,2025-03-21T10:54:34.927707,Norway,Europe,Borgestad A,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOG,2025-03-21T10:54:34.974707,Germany,Europe,Biotest AG ST,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELUXa,2025-03-21T10:54:35.006710,Sweden,Europe,Electrolux A,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUWT,2025-03-21T10:54:35.070224,Spain,Europe,Eurona Wireless Telecom S.A.,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
