symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio,completeness_score
KP5,2025-03-21T10:55:14.554307,Norway,Europe,Kitron,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EVDG,2025-03-21T10:55:14.697153,Germany,Europe,CTS Eventim AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EQV1V,2025-03-21T10:55:14.728537,Finland,Europe,eQ Oyj,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CTPC,2025-03-21T10:55:14.728537,United Kingdom,Europe,Castleton Tech,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DEL,2025-03-21T10:55:14.744514,Germany,Europe,Delta Air Lines,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RXL,2025-03-21T10:55:14.760522,France,Europe,Rexel,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
WEHB,2025-03-21T10:55:14.791193,Belgium,Europe,Wereldhav B-Sicafi,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MAP,2025-03-21T10:55:14.838678,Spain,Europe,Mapfre,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
VRKP,2025-03-21T10:55:14.917340,France,Europe,Vranken-Pommery,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SEBa,2025-03-21T10:55:15.026856,Sweden,Europe,SEB A,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PWOG,2025-03-21T10:55:15.057347,Germany,Europe,Progress Werk Oberkirch,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
IBAB,2025-03-21T10:55:15.057347,Belgium,Europe,Ion Beam Applications,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PREVb,2025-03-21T10:55:15.073374,Sweden,Europe,Prevas B,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
O2Dn,2025-03-21T10:55:15.089377,Switzerland,Europe,Telefonica Deutschland AG,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
COPMa,2025-03-21T10:55:15.167170,Austria,Europe,CompuGroup AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HOYLU,2025-03-21T10:55:15.167170,Sweden,Europe,Hoylu,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RDI,2025-03-21T10:55:15.278314,United Kingdom,Europe,RDI Reit,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DY2,2025-03-21T10:55:15.357418,Germany,Europe,Dentsply,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ALMDT,2025-03-21T10:55:15.357418,France,Europe,Mediantechn,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TAS,2025-03-21T10:55:15.388670,Italy,Europe,TAS,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CODC,2025-03-21T10:55:15.404692,United Kingdom,Europe,Saint Gobain,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ORAN,2025-03-21T10:55:15.435995,Italy,Europe,Orange,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TOT,2025-03-21T10:55:15.466903,Italy,Europe,Total,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
FAAS,2025-03-21T10:55:15.515029,Germany,Europe,Fabasoft AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SCF,2025-03-21T10:55:15.562269,United Kingdom,Europe,Schroder Income,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ADOC,2025-03-21T10:55:15.623809,France,Europe,Adocia,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ODHN,2025-03-21T10:55:15.671605,Germany,Europe,Orascom Development,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LIO,2025-03-21T10:55:15.702851,United Kingdom,Europe,Liontrust,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LOUDS,2025-03-21T10:55:15.702851,Sweden,Europe,Cleantech Invest,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ULE,2025-03-21T10:55:15.796312,United Kingdom,Europe,Ultra Electronics,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
