symbol,name,country,exchange,currency,data_source
SMT,Scottish Mortgage,United Kingdom,Unknown,GBP,investpy
RPS,RPS Group,United Kingdom,Unknown,GBP,investpy
MGGT,Meggitt,United Kingdom,Unknown,GBP,investpy
HLCL,Helical Bar,United Kingdom,Unknown,GBP,investpy
RDW,Redrow,United Kingdom,Unknown,GBP,investpy
IWG,IWG,United Kingdom,Unknown,GBP,investpy
TRY,TR Property,United Kingdom,Unknown,GBP,investpy
SXS,Spectris,United Kingdom,Unknown,GBP,investpy
HLMA,Halma,United Kingdom,Unknown,GBP,investpy
JMG,JPMorgan EM,United Kingdom,Unknown,GBP,investpy
RMV,Rightmove,United Kingdom,Unknown,GBP,investpy
SPD,Sports Direct Int,United Kingdom,Unknown,GBP,investpy
PZC,PZ Cussons,United Kingdom,Unknown,GBP,investpy
KLR,Keller,United Kingdom,Unknown,GBP,investpy
NEX,National Express,United Kingdom,Unknown,GBP,investpy
SAFE,Safestore,United Kingdom,Unknown,GBP,investpy
GFRD,Galliford Try,United Kingdom,Unknown,GBP,investpy
IPF,Intl Personal Finance,United Kingdom,Unknown,GBP,investpy
SMDS,DS Smith,United Kingdom,Unknown,GBP,investpy
CHG,Chemring,United Kingdom,Unknown,GBP,investpy
ESNT,Essentra,United Kingdom,Unknown,GBP,investpy
RTN,Restaurant Group,United Kingdom,Unknown,GBP,investpy
SHB,Shaftesbury,United Kingdom,Unknown,GBP,investpy
DLAR,De La Rue,United Kingdom,Unknown,GBP,investpy
GEMD,GEM Diamonds,United Kingdom,Unknown,GBP,investpy
MLC,Millennium Copthorne,United Kingdom,Unknown,GBP,investpy
PHARP,Pharos Energy PLC,United Kingdom,Unknown,GBP,investpy
CWR,Ceres Power,United Kingdom,Unknown,GBP,investpy
TW,Taylor Wimpey,United Kingdom,Unknown,GBP,investpy
BYG,Big Yellow,United Kingdom,Unknown,GBP,investpy
RCP,RIT Capital,United Kingdom,Unknown,GBP,investpy
RSW,Renishaw,United Kingdom,Unknown,GBP,investpy
BOY,Bodycote,United Kingdom,Unknown,GBP,investpy
EDIN,Edinburgh Investment,United Kingdom,Unknown,GBP,investpy
SPX,Spirax-Sarco Engineering,United Kingdom,Unknown,GBP,investpy
AGT,AVI Global,United Kingdom,Unknown,GBP,investpy
DTY,Dignity PLC,United Kingdom,Unknown,GBP,investpy
PLI,Perpetual Income,United Kingdom,Unknown,GBP,investpy
PVCS,PV Crystalox Solar,United Kingdom,Unknown,GBP,investpy
TEM,Templeton EM,United Kingdom,Unknown,GBP,investpy
GRG,Greggs,United Kingdom,Unknown,GBP,investpy
BBA,BBA Aviation,United Kingdom,Unknown,GBP,investpy
ATST,Alliance Trust,United Kingdom,Unknown,GBP,investpy
AVV,Aveva,United Kingdom,Unknown,GBP,investpy
ASOS,Asos,United Kingdom,Unknown,GBP,investpy
MONY,Moneysupermarket.Com,United Kingdom,Unknown,GBP,investpy
CLLN,Carillion,United Kingdom,Unknown,GBP,investpy
HSV,HomeServe,United Kingdom,Unknown,GBP,investpy
RCH,Reach,United Kingdom,Unknown,GBP,investpy
ITE,ITE Group,United Kingdom,Unknown,GBP,investpy
ECM,Electrocomponents,United Kingdom,Unknown,GBP,investpy
SCIN,Scottish Investment,United Kingdom,Unknown,GBP,investpy
AHT,Ashtead Group,United Kingdom,Unknown,GBP,investpy
SPT,Spirent,United Kingdom,Unknown,GBP,investpy
STHR,Sthree,United Kingdom,Unknown,GBP,investpy
MSLH,Marshalls,United Kingdom,Unknown,GBP,investpy
MERG,Mears,United Kingdom,Unknown,GBP,investpy
SFR,Severfield-Rowen,United Kingdom,Unknown,GBP,investpy
GRI,Grainger,United Kingdom,Unknown,GBP,investpy
NTG,Northgate,United Kingdom,Unknown,GBP,investpy
FXPO,Ferrexpo,United Kingdom,Unknown,GBP,investpy
UTG,Unite,United Kingdom,Unknown,GBP,investpy
DLN,Derwent,United Kingdom,Unknown,GBP,investpy
RWI,Renewi,United Kingdom,Unknown,GBP,investpy
MUT,Murray,United Kingdom,Unknown,GBP,investpy
FLTRF,Flutter Entertainment,United Kingdom,Unknown,GBP,investpy
MNKS,Monks,United Kingdom,Unknown,GBP,investpy
ADIG,Aberdeen Diversified Income and Growth Trust,United Kingdom,Unknown,GBP,investpy
WKP,Workspace,United Kingdom,Unknown,GBP,investpy
CTY,City Of London IT,United Kingdom,Unknown,GBP,investpy
MRCH,Merchants,United Kingdom,Unknown,GBP,investpy
GCC,C&C,United Kingdom,Unknown,GBP,investpy
BEZG,Beazley,United Kingdom,Unknown,GBP,investpy
ERM,Euromoney,United Kingdom,Unknown,GBP,investpy
TMPL,Temple Bar,United Kingdom,Unknown,GBP,investpy
PAYP,PayPoint,United Kingdom,Unknown,GBP,investpy
CTH,Caretech,United Kingdom,Unknown,GBP,investpy
SEY,Sterling Energy,United Kingdom,Unknown,GBP,investpy
WTAN,Witan,United Kingdom,Unknown,GBP,investpy
SDY,Speedy Hire,United Kingdom,Unknown,GBP,investpy
HSTN,Hansteen,United Kingdom,Unknown,GBP,investpy
JETx,JPMorgan European,United Kingdom,Unknown,GBP,investpy
ELTA,Electra,United Kingdom,Unknown,GBP,investpy
RAT,Rathbone Brothers,United Kingdom,Unknown,GBP,investpy
CLSH,CLS,United Kingdom,Unknown,GBP,investpy
WINEW,Majestic Wine,United Kingdom,Unknown,GBP,investpy
STUS,Findel,United Kingdom,Unknown,GBP,investpy
JII,JPMorgan Indian,United Kingdom,Unknown,GBP,investpy
MYI,Murray International,United Kingdom,Unknown,GBP,investpy
PRM,Proteome,United Kingdom,Unknown,GBP,investpy
HASE,Hargreaves Services,United Kingdom,Unknown,GBP,investpy
FEV,Fidelity European,United Kingdom,Unknown,GBP,investpy
BLVN,Bowleven,United Kingdom,Unknown,GBP,investpy
OXB,Oxford BioMedica,United Kingdom,Unknown,GBP,investpy
SPHN,Sopheon PLC,United Kingdom,Unknown,GBP,investpy
SMP,St.Modwen,United Kingdom,Unknown,GBP,investpy
VGAS,Volga Gas,United Kingdom,Unknown,GBP,investpy
JHD,James Halstead,United Kingdom,Unknown,GBP,investpy
KMR,Kenmare Resources,United Kingdom,Unknown,GBP,investpy
COSG,Costain,United Kingdom,Unknown,GBP,investpy
NUM,Numis,United Kingdom,Unknown,GBP,investpy
SQZ,Serica,United Kingdom,Unknown,GBP,investpy
REDD,Redde,United Kingdom,Unknown,GBP,investpy
AGRP,Assura,United Kingdom,Unknown,GBP,investpy
CAL,Capital Regional,United Kingdom,Unknown,GBP,investpy
